TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,RatID
43,2,471.28,3,473.32,1.32999999999998,471.3,1,1,1,KL007Y-KL007G,1.0
44,2,480.46,0,,0.629999999999995,,0,1,0,KL007Y-KL007G,0.0
45,1,489.17,0,,1.56,,0,1,0,KL007Y-KL007G,
45,1,489.48,0,,1.87,,0,-1,0,KL007Y-KL007G,
45,1,489.63,0,,2.01999999999998,,0,-1,0,KL007Y-KL007G,
45,1,489.79,0,,2.18000000000001,,0,-1,0,KL007Y-KL007G,0.0
45,1,489.92,0,,2.31,,0,-1,0,KL007Y-KL007G,
45,1,490.58,0,,2.96999999999997,,0,-1,0,KL007Y-KL007G,1.0
46,2,503.09,0,,3.56999999999999,,0,1,0,KL007Y-KL007G,
46,2,504.11,0,,4.59000000000003,,0,-1,0,KL007Y-KL007G,
47,1,511.83,0,,0.789999999999964,,0,1,0,KL007Y-KL007G,0.0
47,1,512.69,0,,1.65000000000003,,0,-1,0,KL007Y-KL007G,0.0
48,1,521.22,3,523.15,1.04000000000008,521.28,1,1,0,KL007Y-KL007G,0.0
48,2,521.26,3,523.15,1.08000000000004,521.28,1,1,1,KL007Y-KL007G,1.0
48,1,521.63,3,523.15,1.45000000000005,521.28,1,-2,0,KL007Y-KL007G,0.0
48,2,521.83,3,523.15,1.65000000000009,521.28,1,-2,0,KL007Y-KL007G,1.0
49,1,543.75,0,,0.789999999999964,,0,1,0,KL007Y-KL007G,1.0
49,1,545.2,0,,2.24000000000001,,0,-1,0,KL007Y-KL007G,1.0
50,2,552.83,0,,0.629999999999995,,0,1,0,KL007Y-KL007G,1.0
51,2,561.06,0,,0.67999999999995,,0,1,0,KL007Y-KL007G,0.0
51,2,562.83,0,,2.45000000000005,,0,-1,0,KL007Y-KL007G,1.0
52,2,572.38,0,,0.870000000000005,,0,1,0,KL007Y-KL007G,1.0
52,2,572.87,0,,1.36000000000001,,0,-1,0,KL007Y-KL007G,0.0
53,2,584.03,3,586.3,0.600000000000023,584.23,1,1,0,KL007Y-KL007G,
53,1,584.21,3,586.3,0.780000000000086,584.23,1,1,1,KL007Y-KL007G,0.0
54,2,597.68,3,600.22,1.21999999999991,598.3,1,1,0,KL007Y-KL007G,0.0
54,1,598.29,3,600.22,1.82999999999993,598.3,1,1,1,KL007Y-KL007G,0.0
54,1,598.74,3,600.22,2.27999999999997,598.3,1,-2,0,KL007Y-KL007G,
55,2,609.03,3,610.87,0.589999999999918,609.25,1,1,0,KL007Y-KL007G,1.0
55,1,609.23,3,610.87,0.789999999999964,609.25,1,1,1,KL007Y-KL007G,0.0
56,2,621.5,3,623.68,0.649999999999977,621.66,1,1,0,KL007Y-KL007G,1.0
56,1,621.64,3,623.68,0.789999999999964,621.66,1,1,1,KL007Y-KL007G,0.0
57,2,647.07,3,649.45,0.970000000000027,647.63,1,1,0,KL007Y-KL007G,0.0
57,2,647.59,3,649.45,1.49000000000001,647.63,1,-1,0,KL007Y-KL007G,1.0
57,1,647.61,3,649.45,1.50999999999999,647.63,1,1,1,KL007Y-KL007G,0.0
57,2,648.11,3,649.45,2.00999999999999,647.63,1,-2,0,KL007Y-KL007G,1.0
58,2,659.64,3,661.01,0.610000000000014,659.84,1,1,0,KL007Y-KL007G,1.0
58,1,659.82,3,661.01,0.790000000000077,659.84,1,1,1,KL007Y-KL007G,0.0
58,2,660.05,3,661.01,1.01999999999998,659.84,1,-2,0,KL007Y-KL007G,1.0
59,2,672.44,3,674.2,0.780000000000086,672.48,1,1,0,KL007Y-KL007G,1.0
59,1,672.46,3,674.2,0.800000000000068,672.48,1,1,1,KL007Y-KL007G,0.0
60,2,683.05,3,684.88,0.449999999999932,683.41,1,1,0,KL007Y-KL007G,1.0
60,2,683.3,3,684.88,0.699999999999932,683.41,1,-1,0,KL007Y-KL007G,1.0
60,1,683.39,3,684.88,0.789999999999964,683.41,1,1,1,KL007Y-KL007G,0.0
61,2,697.39,3,699.05,0.699999999999932,697.53,1,1,0,KL007Y-KL007G,1.0
