TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,CoopTimeLimit,RatID
144,2,1740.94,3,1744.28,4.84000000000015,1742.14,1,1,0,KL005B-KL005Y,1.25,1.0
144,2,1741.16,3,1744.28,5.06000000000017,1742.14,1,-1,0,KL005B-KL005Y,1.25,1.0
144,1,1742.12,3,1744.28,6.01999999999998,1742.14,1,1,1,KL005B-KL005Y,1.25,0.0
145,2,1758.91,0,,4.26999999999998,,0,1,0,KL005B-KL005Y,1.25,1.0
145,2,1759.46,0,,4.81999999999994,,0,-1,0,KL005B-KL005Y,1.25,1.0
145,2,1759.82,0,,5.17999999999984,,0,-1,0,KL005B-KL005Y,1.25,1.0
145,2,1760.25,0,,5.6099999999999,,0,-1,0,KL005B-KL005Y,1.25,1.0
146,2,1771.35,3,1773.7,2.75,1772.21,1,1,0,KL005B-KL005Y,1.25,1.0
146,2,1771.79,3,1773.7,3.19000000000005,1772.21,1,-1,0,KL005B-KL005Y,1.25,1.0
146,1,1772.19,3,1773.7,3.59000000000015,1772.21,1,1,1,KL005B-KL005Y,1.25,0.0
147,2,1786.31,0,,2.04999999999995,,0,1,0,KL005B-KL005Y,1.25,1.0
147,2,1786.5,0,,2.24000000000001,,0,-1,0,KL005B-KL005Y,1.25,1.0
147,2,1787.56,0,,3.29999999999995,,0,-1,0,KL005B-KL005Y,1.25,1.0
148,2,1793.75,0,,0.950000000000045,,0,1,0,KL005B-KL005Y,1.25,1.0
148,2,1794.54,0,,1.74000000000001,,0,-1,0,KL005B-KL005Y,1.25,1.0
148,2,1794.88,0,,2.08000000000015,,0,-1,0,KL005B-KL005Y,1.25,1.0
148,2,1795.05,0,,2.25,,0,-1,0,KL005B-KL005Y,1.25,1.0
148,1,1795.53,0,,2.73000000000002,,0,1,1,KL005B-KL005Y,1.25,0.0
149,1,1827.16,0,,24.3200000000002,,0,1,0,KL005B-KL005Y,1.25,0.0
149,1,1828.19,0,,25.3500000000001,,0,-1,0,KL005B-KL005Y,1.25,0.0
150,2,1837.41,0,,1.66000000000008,,0,1,0,KL005B-KL005Y,1.25,1.0
150,2,1837.82,0,,2.06999999999994,,0,-1,0,KL005B-KL005Y,1.25,1.0
150,1,1839.22,0,,3.47000000000003,,0,1,1,KL005B-KL005Y,1.25,0.0
151,1,1847.66,0,,0.759999999999991,,0,1,0,KL005B-KL005Y,1.25,0.0
151,1,1848.07,0,,1.16999999999985,,0,-1,0,KL005B-KL005Y,1.25,0.0
151,1,1848.39,0,,1.49000000000001,,0,-1,0,KL005B-KL005Y,1.25,0.0
151,1,1849.13,0,,2.23000000000002,,0,-1,0,KL005B-KL005Y,1.25,0.0
152,2,1899.9,0,,41.5500000000002,,0,1,0,KL005B-KL005Y,1.25,1.0
152,2,1900.37,0,,42.02,,0,-1,0,KL005B-KL005Y,1.25,1.0
153,2,1913.15,0,,2.06000000000017,,0,1,0,KL005B-KL005Y,1.25,1.0
154,2,1932.41,0,,11.6700000000001,,0,1,0,KL005B-KL005Y,1.25,1.0
155,2,1942.63,0,,1.33000000000015,,0,1,0,KL005B-KL005Y,1.25,1.0
155,2,1943.24,0,,1.94000000000005,,0,-1,0,KL005B-KL005Y,1.25,1.0
155,2,1943.49,0,,2.19000000000005,,0,-1,0,KL005B-KL005Y,1.25,1.0
156,1,1952.0,3,1953.8,1.38000000000011,1952.46,1,1,0,KL005B-KL005Y,1.25,0.0
156,2,1952.45,3,1953.8,1.83000000000015,1952.46,1,1,1,KL005B-KL005Y,1.25,1.0
157,2,1965.11,0,,2.14999999999986,,0,1,0,KL005B-KL005Y,1.25,1.0
