TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,CoopTimeLimit,RatID
67,2,861.44,3,862.44,1.16000000000008,861.15,1,-2,0,KL006R-KL006G,1.25,1.0
67,1,861.61,3,862.44,1.33000000000004,861.15,1,-2,0,KL006R-KL006G,1.25,0.0
67,2,861.61,3,862.44,1.33000000000004,861.15,1,-2,0,KL006R-KL006G,1.25,1.0
68,1,874.21,0,,1.28000000000009,,0,1,0,KL006R-KL006G,1.25,0.0
69,1,882.93,3,884.68,0.729999999999905,883.09,1,1,0,KL006R-KL006G,1.25,0.0
69,2,883.06,3,884.68,0.8599999999999,883.09,1,1,1,KL006R-KL006G,1.25,1.0
69,1,883.19,3,884.68,0.990000000000009,883.09,1,-2,0,KL006R-KL006G,1.25,0.0
69,2,883.4,3,884.68,1.19999999999993,883.09,1,-2,0,KL006R-KL006G,1.25,1.0
70,1,896.25,0,,1.49000000000001,,0,1,0,KL006R-KL006G,1.25,0.0
70,1,896.41,0,,1.64999999999998,,0,-1,0,KL006R-KL006G,1.25,0.0
71,2,905.03,3,907.36,0.789999999999964,905.17,1,1,0,KL006R-KL006G,1.25,1.0
71,1,905.16,3,907.36,0.919999999999959,905.17,1,1,1,KL006R-KL006G,1.25,0.0
71,2,905.23,3,907.36,0.990000000000009,905.17,1,-2,0,KL006R-KL006G,1.25,1.0
71,2,905.43,3,907.36,1.18999999999994,905.17,1,-2,0,KL006R-KL006G,1.25,1.0
71,1,905.48,3,907.36,1.24000000000001,905.17,1,-2,0,KL006R-KL006G,1.25,0.0
72,2,919.34,3,921.7,1.04000000000008,920.06,1,1,0,KL006R-KL006G,1.25,1.0
72,1,920.04,3,921.7,1.74000000000001,920.06,1,1,1,KL006R-KL006G,1.25,0.0
73,1,931.03,0,,1.68999999999994,,0,1,0,KL006R-KL006G,1.25,0.0
74,1,943.32,0,,1.10000000000002,,0,1,0,KL006R-KL006G,1.25,0.0
74,1,943.99,0,,1.76999999999998,,0,-1,0,KL006R-KL006G,1.25,0.0
74,1,944.43,0,,2.20999999999992,,0,-1,0,KL006R-KL006G,1.25,0.0
75,1,952.02,0,,1.00999999999999,,0,1,0,KL006R-KL006G,1.25,0.0
75,1,953.24,0,,2.23000000000002,,0,-1,0,KL006R-KL006G,1.25,0.0
76,1,968.2,0,,5.49000000000001,,0,1,0,KL006R-KL006G,1.25,0.0
76,1,969.03,0,,6.31999999999994,,0,-1,0,KL006R-KL006G,1.25,0.0
76,1,969.39,0,,6.67999999999995,,0,-1,0,KL006R-KL006G,1.25,0.0
77,1,979.4,0,,1.11000000000001,,0,1,0,KL006R-KL006G,1.25,0.0
77,1,979.64,0,,1.35000000000002,,0,-1,0,KL006R-KL006G,1.25,0.0
78,1,987.53,0,,0.939999999999941,,0,1,0,KL006R-KL006G,1.25,0.0
78,1,989.1,0,,2.50999999999999,,0,-1,0,KL006R-KL006G,1.25,0.0
79,1,997.03,0,,0.709999999999923,,0,1,0,KL006R-KL006G,1.25,0.0
79,1,997.78,0,,1.45999999999992,,0,-1,0,KL006R-KL006G,1.25,0.0
80,1,1005.78,0,,0.759999999999991,,0,1,0,KL006R-KL006G,1.25,0.0
80,1,1006.22,0,,1.20000000000005,,0,-1,0,KL006R-KL006G,1.25,0.0
81,1,1015.89,3,1018.14,0.720000000000027,1016.15,1,1,0,KL006R-KL006G,1.25,0.0
81,1,1016.07,3,1018.14,0.900000000000091,1016.15,1,-1,0,KL006R-KL006G,1.25,0.0
81,2,1016.13,3,1018.14,0.960000000000036,1016.15,1,1,1,KL006R-KL006G,1.25,1.0
81,1,1016.29,3,1018.14,1.12,1016.15,1,-2,0,KL006R-KL006G,1.25,0.0
81,2,1016.54,3,1018.14,1.37,1016.15,1,-2,0,KL006R-KL006G,1.25,1.0
82,1,1030.85,0,,1.80999999999995,,0,1,0,KL006R-KL006G,1.25,0.0
82,1,1031.69,0,,2.65000000000009,,0,-1,0,KL006R-KL006G,1.25,0.0
83,2,1040.92,3,1042.79,0.880000000000109,1041.0,1,1,0,KL006R-KL006G,1.25,1.0
83,1,1040.99,3,1042.79,0.950000000000045,1041.0,1,1,1,KL006R-KL006G,1.25,0.0
83,2,1041.16,3,1042.79,1.12000000000012,1041.0,1,-2,0,KL006R-KL006G,1.25,1.0
84,2,1053.53,3,1056.72,0.889999999999873,1054.53,1,1,0,KL006R-KL006G,1.25,1.0
84,1,1054.52,3,1056.72,1.87999999999988,1054.53,1,1,1,KL006R-KL006G,1.25,0.0
85,1,1069.77,0,,4.45000000000005,,0,1,0,KL006R-KL006G,1.25,0.0
86,1,1076.8,3,1078.96,0.740000000000009,1076.92,1,1,0,KL006R-KL006G,1.25,0.0
86,2,1076.91,3,1078.96,0.850000000000136,1076.92,1,1,1,KL006R-KL006G,1.25,1.0
86,2,1077.08,3,1078.96,1.01999999999998,1076.92,1,-2,0,KL006R-KL006G,1.25,1.0
87,2,1111.48,0,,23.6900000000001,,0,1,0,KL006R-KL006G,1.25,1.0
87,2,1113.39,0,,25.6000000000001,,0,-1,0,KL006R-KL006G,1.25,1.0
88,1,1131.82,0,,11.25,,0,1,0,KL006R-KL006G,1.25,0.0
89,2,1143.63,3,1145.93,0.920000000000073,1144.69,1,1,0,KL006R-KL006G,1.25,1.0
89,2,1143.85,3,1145.93,1.13999999999987,1144.69,1,-1,0,KL006R-KL006G,1.25,1.0
