TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,CoopTimeLimit,RatID
182,1,2436.44,3,2438.08,1.61999999999989,2436.04,1,-2,0,KL007G-KL007Y,1.25,1.0
182,2,2436.76,3,2438.08,1.94000000000005,2436.04,1,-2,0,KL007G-KL007Y,1.25,0.0
183,2,2450.34,0,,0.630000000000109,,0,1,0,KL007G-KL007Y,1.25,0.0
183,2,2451.26,0,,1.55000000000018,,0,-1,0,KL007G-KL007Y,1.25,1.0
183,2,2451.81,0,,2.09999999999991,,0,-1,0,KL007G-KL007Y,1.25,
183,2,2452.32,0,,2.61000000000013,,0,-1,0,KL007G-KL007Y,1.25,0.0
184,2,2459.31,3,2461.38,1.07999999999993,2459.39,1,1,0,KL007G-KL007Y,1.25,
184,1,2459.37,3,2461.38,1.13999999999987,2459.39,1,1,1,KL007G-KL007Y,1.25,0.0
185,2,2554.04,0,,0.929999999999836,,0,1,0,KL007G-KL007Y,1.25,0.0
185,2,2555.18,0,,2.06999999999971,,0,-1,0,KL007G-KL007Y,1.25,
185,2,2556.0,0,,2.88999999999987,,0,-1,0,KL007G-KL007Y,1.25,0.0
186,2,2561.91,0,,0.679999999999836,,0,1,0,KL007G-KL007Y,1.25,0.0
186,2,2562.8,0,,1.57000000000016,,0,-1,0,KL007G-KL007Y,1.25,1.0
186,2,2563.57,0,,2.34000000000015,,0,-1,0,KL007G-KL007Y,1.25,1.0
187,2,2571.74,0,,2.4399999999996,,0,1,0,KL007G-KL007Y,1.25,0.0
187,2,2573.74,0,,4.4399999999996,,0,-1,0,KL007G-KL007Y,1.25,0.0
188,2,2578.52,0,,0.389999999999873,,0,1,0,KL007G-KL007Y,1.25,0.0
188,2,2578.63,0,,0.5,,0,-1,0,KL007G-KL007Y,1.25,0.0
188,2,2579.58,0,,1.44999999999982,,0,-1,0,KL007G-KL007Y,1.25,0.0
188,2,2580.05,0,,1.92000000000007,,0,-1,0,KL007G-KL007Y,1.25,0.0
189,2,2588.41,0,,3.0,,0,1,0,KL007G-KL007Y,1.25,0.0
189,2,2589.3,0,,3.89000000000033,,0,-1,0,KL007G-KL007Y,1.25,0.0
189,2,2590.41,0,,5.0,,0,-1,0,KL007G-KL007Y,1.25,0.0
190,2,2599.99,0,,0.6899999999996,,0,1,0,KL007G-KL007Y,1.25,0.0
190,2,2600.81,0,,1.50999999999976,,0,-1,0,KL007G-KL007Y,1.25,0.0
191,2,2613.98,0,,7.40000000000009,,0,1,0,KL007G-KL007Y,1.25,0.0
191,2,2615.23,0,,8.65000000000009,,0,-1,0,KL007G-KL007Y,1.25,0.0
191,2,2615.98,0,,9.40000000000009,,0,-1,0,KL007G-KL007Y,1.25,0.0
192,2,2620.79,0,,0.320000000000164,,0,1,0,KL007G-KL007Y,1.25,0.0
192,2,2621.09,0,,0.620000000000346,,0,-1,0,KL007G-KL007Y,1.25,0.0
192,2,2621.93,0,,1.46000000000004,,0,-1,0,KL007G-KL007Y,1.25,1.0
193,2,2629.32,0,,0.740000000000236,,0,1,0,KL007G-KL007Y,1.25,0.0
194,2,2640.22,0,,0.609999999999673,,0,1,0,KL007G-KL007Y,1.25,0.0
194,2,2642.28,0,,2.67000000000007,,0,-1,0,KL007G-KL007Y,1.25,0.0
195,2,2647.76,0,,0.650000000000091,,0,1,0,KL007G-KL007Y,1.25,0.0
196,2,2655.49,0,,0.839999999999691,,0,1,0,KL007G-KL007Y,1.25,0.0
197,2,2666.17,0,,1.78999999999996,,0,1,0,KL007G-KL007Y,1.25,0.0
