vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,dividers
091324_Cam1_TrNum8_Coop_KL006G-KL006R,091324_FiberPho_KL006G-KL002_TimeOut,multi,test,True,KL006G-KL006R,0.1895783954607484,0.1990160166630754,True,0.0041855203619909,True,True,coop,TP,True,transparent
091624_Cam1_TrNum8_Coop_KL006G-KL006R,091624_FiberPho_KL006G-KL007_TimeOut,multi,test,True,KL006G-KL006R,0.1113495782567947,0.1142033739456419,True,0.0019400187441424,True,True,coop,TP,True,transparent
091824_Cam1_TrNum8_Coop_KL006G-KL006R,091824_FiberPho_KL006G-KL003_TimeOut,multi,test,True,KL006G-KL006R,0.1121427150341534,0.1158432256780953,True,0.0020724185953975,True,True,coop,TP,True,transparent
092424_Cam1_TrNum8_Coop_KL002B-KL002Y,092424_FiberPho_KL002B-KL001_TimeOut,multi,test,True,KL002B-KL002Y,0.0768648579308575,0.0790327753190943,True,0.0002309024437175,True,True,coop,TP,True,transparent
092424_Cam2_TrNum14_Coop_KL005Y-KL005B,092424_FiberPho_KL005Y-KL008_TimeOut,multi,test,True,KL005Y-KL005B,0.0422532056666106,0.0484573604345148,True,0.0001847807827985,True,True,coop,TP,False,transparent
092524_Cam1_TrNum10_Coop_KL005Y-KL005B,092524_FiberPho_KL005Y-KL003_2X_TimeOut,multi,test,True,KL005Y-KL005B,0.0763290004482294,0.0890542357687135,True,0.000726131779471,True,True,coop,TP,True,transparent
092524_Cam2_TrNum12_Coop_KL006G-KL006R,092524_FiberPho_KL006G-KL002_2X_TimeOut,multi,test,True,KL006G-KL006R,0.077848610924708,0.0837337270165078,True,0.0015903905516038,True,True,coop,TP,True,transparent
092624_Cam2_TrNum12_Coop_KL002B-KL002Y,092624_FiberPho_KL002B-KL006_2X_TimeOut,multi,test,True,KL002B-KL002Y,0.0395764736264445,0.0406740267286461,True,0.0001549486732519,True,True,coop,TP,True,transparent
100224_Cam2_TrNum12_Coop_KL002Y-KL002B,100224_FiberPho_KL002Y-KL003_TimeOut,multi,test,True,KL002Y-KL002B,0.0378654770075497,0.0397529169526424,True,0.0002814001372683,True,True,coop,TP,True,transparent
100224_Cam1_TrNum12_Coop_KL006G-KL006R,100224_FiberPho_KL006G-KL008_TimeOut,multi,test,True,KL006G-KL006R,0.1015709245823071,0.1067563069959395,True,0.002170005990814,True,True,coop,TP,True,transparent
