TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,RatID,TrialStartTime,TrialEndTime,IPI_Rat0,IPI_Rat1,IPI_General,IPI_FirstToSuccess,IPI_LastToSuccess,CoopSuccessZone,Location_Rat0,Location_Rat1
1,2,15.86,0,,5.85,,0,1,0,,1,10.01,25.71,,,,,,False,mag_top,lev_top
1,2,16.11,0,,6.1,,0,-1,0,,1,10.01,25.71,,0.25,0.25,,,False,mag_top,lev_top
1,2,16.4,0,,6.39,,0,-1,0,,1,10.01,25.71,,0.28999999999999915,0.28999999999999915,,,False,mag_top,lev_top
1,2,17.06,0,,7.05,,0,-1,0,,1,10.01,25.71,,0.6600000000000001,0.6600000000000001,,,False,mid,lev_top
2,2,26.96,0,,1.25,,0,1,0,,1,25.71,35.40999999999999,,9.900000000000002,9.900000000000002,,,False,mag_top,lev_top
2,2,27.29,0,,1.58,,0,-1,0,,1,25.71,35.40999999999999,,0.3299999999999983,0.3299999999999983,,,False,mag_top,lev_top
2,2,28.31,0,,2.6,,0,-1,0,,1,25.71,35.40999999999999,,1.0199999999999996,1.0199999999999996,,,False,mag_top,lev_top
3,2,39.42,3,41.86,4.01000000000001,40.04,1,1,0,,1,35.40999999999999,52.77,,11.110000000000003,11.110000000000003,,,False,mid,lev_top
3,2,39.87,3,41.86,4.46,40.04,1,-1,0,,1,35.40999999999999,52.77,,0.44999999999999574,0.44999999999999574,,,False,lev_bottom,lev_top
3,1,40.03,3,41.86,4.62,40.04,1,1,1,,0,35.40999999999999,52.77,,,0.1600000000000037,0.6099999999999994,0.1600000000000037,False,lev_bottom,lev_top
4,1,53.47,0,,0.699999999999996,,0,1,0,,0,52.77,59.92,13.439999999999998,,13.439999999999998,,,False,lev_bottom,mag_top
4,1,54.42,0,,1.65,,0,-1,0,,0,52.77,59.92,0.9500000000000028,,0.9500000000000028,,,False,lev_bottom,mag_top
4,1,54.76,0,,1.98999999999999,,0,-1,0,,0,52.77,59.92,0.3399999999999963,,0.3399999999999963,,,False,lev_bottom,mag_top
5,1,60.54,0,,0.619999999999997,,0,1,0,,1,59.92,71.59,,20.67,5.780000000000001,,,False,mag_bottom,lev_bottom
5,1,60.67,0,,0.75,,0,-1,0,,1,59.92,71.59,,0.13000000000000256,0.13000000000000256,,,False,mag_bottom,lev_bottom
6,2,72.22,3,73.83,0.629999999999995,72.26,1,1,0,,1,71.59,83.44,,11.549999999999997,11.549999999999997,,,False,lev_bottom,lev_top
6,1,72.23,3,73.83,0.640000000000001,72.26,1,1,1,,0,71.59,83.44,17.470000000000006,,0.010000000000005116,0.010000000000005116,0.010000000000005116,False,lev_bottom,lev_top
6,2,72.31,3,73.83,0.719999999999999,72.26,1,-2,0,,1,71.59,83.44,,0.09000000000000341,0.0799999999999983,,,False,lev_bottom,lev_top
6,1,72.98,3,73.83,1.39,72.26,1,-2,0,,0,71.59,83.44,0.75,,0.6700000000000017,,,False,lev_bottom,lev_top
6,1,79.46,3,73.83,7.86999999999999,72.26,1,-2,0,,0,71.59,83.44,6.47999999999999,,6.47999999999999,,,False,lev_bottom,lev_top
6,1,79.76,3,73.83,8.17,72.26,1,-2,0,,0,71.59,83.44,0.30000000000001137,,0.30000000000001137,,,False,lev_bottom,lev_top
6,1,82.85,3,73.83,11.26,72.26,1,-2,0,,0,71.59,83.44,3.089999999999989,,3.089999999999989,,,False,lev_bottom,lev_top
6,1,82.95,3,73.83,11.36,72.26,1,-2,0,,0,71.59,83.44,0.10000000000000853,,0.10000000000000853,,,False,lev_bottom,lev_top
7,2,84.16,3,85.46,0.719999999999999,84.34,1,1,0,,1,83.44,97.26,,11.849999999999994,1.2099999999999937,,,False,lev_bottom,lev_top
7,1,84.31,3,85.46,0.870000000000005,84.34,1,1,1,,0,83.44,97.26,1.3599999999999994,,0.15000000000000568,0.15000000000000568,0.15000000000000568,False,lev_bottom,lev_top
8,2,97.91,3,99.66,0.649999999999991,97.99,1,1,0,,1,97.26,110.66,,13.75,13.599999999999994,,,False,lev_bottom,lev_top
8,1,97.98,3,99.66,0.719999999999999,97.99,1,1,1,,0,97.26,110.66,13.670000000000002,,0.07000000000000739,0.07000000000000739,0.07000000000000739,False,lev_bottom,lev_top
8,2,98.41,3,99.66,1.14999999999999,97.99,1,-2,0,,1,97.26,110.66,,0.5,0.4299999999999926,,,False,lev_bottom,lev_top
9,2,111.39,3,113.51,0.730000000000004,111.49,1,1,0,,1,110.66,124.3,,12.980000000000004,12.980000000000004,,,True,lev_bottom,lev_top
9,1,111.46,3,113.51,0.799999999999997,111.49,1,1,1,,0,110.66,124.3,13.47999999999999,,0.06999999999999318,0.06999999999999318,0.06999999999999318,True,lev_bottom,lev_top
10,1,124.94,3,126.35,0.640000000000001,124.98,1,1,0,,0,124.3,136.42,13.480000000000004,,13.480000000000004,0.0,0.0,True,lev_bottom,lev_top
10,2,124.94,3,126.35,0.640000000000001,124.98,1,1,1,,1,124.3,136.42,,13.549999999999997,0.0,0.0,0.0,True,lev_bottom,lev_top
10,1,125.2,3,126.35,0.900000000000006,124.98,1,-2,0,,0,124.3,136.42,0.2600000000000051,,0.2600000000000051,,,True,lev_bottom,lev_top
11,1,136.98,3,139.15,0.560000000000002,137.08,1,1,0,,0,136.42,148.01,11.779999999999987,,11.779999999999987,,,True,lev_bottom,lev_top
11,2,137.06,3,139.15,0.640000000000015,137.08,1,1,1,,1,136.42,148.01,,12.120000000000005,0.0800000000000125,0.0800000000000125,0.0800000000000125,True,lev_bottom,lev_top
11,2,137.14,3,139.15,0.719999999999999,137.08,1,-2,0,,1,136.42,148.01,,0.07999999999998408,0.07999999999998408,,,True,lev_bottom,lev_top
12,1,148.68,3,149.84,0.670000000000016,148.72,1,1,0,,0,148.01,157.66,11.700000000000017,,11.54000000000002,,,True,lev_bottom,lev_top
12,2,148.69,3,149.84,0.680000000000007,148.72,1,1,1,,1,148.01,157.66,,11.550000000000011,0.009999999999990905,0.009999999999990905,0.009999999999990905,True,lev_bottom,lev_top
12,1,148.81,3,149.84,0.800000000000011,148.72,1,-2,0,,0,148.01,157.66,0.12999999999999545,,0.12000000000000455,,,True,lev_bottom,lev_top
13,2,158.25,3,159.67,0.590000000000003,158.45,1,1,0,,1,157.66,168.05,,9.560000000000002,9.439999999999998,,,True,lev_bottom,lev_top
13,1,158.42,3,159.67,0.759999999999991,158.45,1,1,1,,0,157.66,168.05,9.609999999999985,,0.1699999999999875,0.1699999999999875,0.1699999999999875,True,lev_bottom,lev_top
14,1,168.69,3,170.91,0.639999999999986,169.59,1,1,0,,0,168.05,190.21,10.27000000000001,,10.27000000000001,,,True,lev_bottom,mid
14,1,168.79,3,170.91,0.739999999999981,169.59,1,-1,0,,0,168.05,190.21,0.09999999999999432,,0.09999999999999432,,,True,lev_bottom,lev_top
14,1,169.05,3,170.91,1.0,169.59,1,-1,0,,0,168.05,190.21,0.2600000000000193,,0.2600000000000193,,,True,lev_bottom,lev_top
14,2,169.57,3,170.91,1.51999999999998,169.59,1,1,1,,1,168.05,190.21,,11.319999999999993,0.5199999999999818,0.8799999999999955,0.5199999999999818,True,lev_bottom,lev_top
15,1,190.58,0,,0.370000000000005,,0,1,0,,1,190.21,196.93,,21.01000000000002,21.01000000000002,,,True,mid,lev_bottom
15,1,190.85,0,,0.639999999999986,,0,-1,0,,1,190.21,196.93,,0.2699999999999818,0.2699999999999818,,,True,mid,lev_bottom
15,1,191.23,0,,1.01999999999998,,0,-1,0,,1,190.21,196.93,,0.37999999999999545,0.37999999999999545,,,True,lev_bottom,lev_bottom
15,1,191.57,0,,1.35999999999999,,0,-1,0,,0,190.21,196.93,22.519999999999982,,0.3400000000000034,,,True,lev_bottom,lev_bottom
16,1,197.61,3,199.42,0.680000000000007,198.25,1,1,0,,0,196.93,207.63,6.0400000000000205,,6.0400000000000205,,,True,lev_bottom,mid
16,1,197.72,3,199.42,0.789999999999992,198.25,1,-1,0,,0,196.93,207.63,0.10999999999998522,,0.10999999999998522,,,True,lev_bottom,other
16,2,198.23,3,199.42,1.29999999999998,198.25,1,1,1,,1,196.93,207.63,,7.0,0.5099999999999909,0.6199999999999761,0.5099999999999909,True,lev_bottom,lev_top
17,1,208.28,3,209.54,0.650000000000006,208.32,1,1,0,,0,207.63,219.94,10.560000000000002,,10.050000000000011,,,True,lev_bottom,lev_top
17,2,208.29,3,209.54,0.659999999999997,208.32,1,1,1,,1,207.63,219.94,,10.060000000000002,0.009999999999990905,0.009999999999990905,0.009999999999990905,True,lev_bottom,lev_top
17,1,208.53,3,209.54,0.900000000000006,208.32,1,-2,0,,0,207.63,219.94,0.25,,0.2400000000000091,,,True,lev_bottom,lev_top
18,1,220.6,3,222.26,0.659999999999997,220.64,1,1,0,,0,219.94,233.71,12.069999999999993,,12.069999999999993,,,True,lev_bottom,lev_top
18,2,220.62,3,222.26,0.680000000000007,220.64,1,1,1,,1,219.94,233.71,,12.330000000000013,0.020000000000010232,0.020000000000010232,0.020000000000010232,True,lev_bottom,lev_top
18,1,221.29,3,222.26,1.34999999999999,220.64,1,-2,0,,0,219.94,233.71,0.6899999999999977,,0.6699999999999875,,,True,lev_bottom,lev_top
19,1,234.3,3,236.09,0.590000000000003,234.42,1,1,0,,0,233.71,246.06,13.01000000000002,,13.01000000000002,,,True,lev_bottom,lev_top
19,2,234.4,3,236.09,0.689999999999998,234.42,1,1,1,,1,233.71,246.06,,13.780000000000001,0.09999999999999432,0.09999999999999432,0.09999999999999432,True,lev_bottom,lev_top
20,1,249.53,3,252.1,3.47,250.13,1,1,0,,0,246.06,258.98,15.22999999999999,,15.129999999999995,,,True,lev_bottom,lev_top
20,2,250.11,3,252.1,4.05000000000001,250.13,1,1,1,,1,246.06,258.98,,15.710000000000008,0.5800000000000125,0.5800000000000125,0.5800000000000125,True,lev_bottom,lev_top
