rat0_x,rat0_y,rat1_x,rat1_y
1244.6192626953125,434.3770446777344,234.3286895751953,140.53018188476562
1242.5484619140625,440.4901123046875,266.48663330078125,142.55538940429688
1240.399169921875,444.44073486328125,278.39923095703125,146.38539123535156
1230.5064697265625,454.4076232910156,288.4796142578125,146.58026123046875
1230.60546875,458.4754638671875,298.41259765625,148.4947967529297
1230.4508056640625,464.5885009765625,300.4285888671875,146.47662353515625
1228.65185546875,466.63970947265625,309.07348206460034,138.05911572936424
1222.50537109375,478.52056884765625,320.55078125,140.5335235595703
1206.41064453125,494.54046630859375,324.577392578125,134.6456298828125
1200.478759765625,506.40771484375,332.4100646972656,126.56195068359375
1200.4417724609375,520.5641479492188,332.582275390625,118.59504699707031
1198.5535888671875,532.3695678710938,336.526611328125,112.32609558105469
1198.4715576171875,542.4248046875,344.44354248046875,106.6400146484375
1196.51171875,556.4317626953125,346.4053955078125,104.56614685058594
1198.3875732421875,564.5293579101562,350.4266052246094,108.53202819824219
1198.348876953125,570.5687866210938,348.52264404296875,108.294921875
1192.46484375,572.40673828125,346.44970703125,110.32328796386719
1192.55810546875,572.4698486328125,344.5715637207031,108.3853759765625
1186.52294921875,570.5352783203125,340.511474609375,106.53700256347656
1186.637939453125,572.549560546875,340.43316650390625,108.59825134277344
1190.3687744140625,572.4100952148438,338.3887939453125,112.62841796875
1190.2840576171875,572.4288940429688,340.3725891113281,114.68119812011719
1190.33349609375,574.3207397460938,340.655517578125,116.66299438476562
1192.47705078125,574.4358520507812,338.601318359375,114.64500427246094
1196.533447265625,574.4915771484375,334.32958984375,110.64224243164062
1194.4654541015625,576.461669921875,336.6202392578125,110.63017272949219
1188.3309326171875,574.5949096679688,340.6011047363281,112.58683776855469
1180.6239013671875,572.4110107421875,346.67047119140625,116.54739379882812
1176.498046875,570.5045776367188,352.4261779785156,122.46969604492188
1176.6201171875,572.4326171875,356.3796691894531,126.42967224121094
1176.633544921875,572.468017578125,364.5013427734375,132.42857360839844
1182.632568359375,572.4794921875,372.527587890625,140.38299560546875
1184.609619140625,570.4403686523438,376.66998291015625,144.40415954589844
1186.336669921875,572.5567016601562,382.47857666015625,150.4141082763672
1192.3428955078125,574.46923828125,391.3792281433712,154.0698937525081
1192.4088134765625,574.4312133789062,399.0148547905947,157.76443259245121
1192.411376953125,574.4166259765625,407.1891405737824,161.28634736229938
1188.40576171875,572.5264892578125,414.8114896139561,164.9673362043625
1188.4244384765625,572.4223022460938,418.51690673828125,176.48240661621094
1186.4254150390625,570.4689331054688,428.6426696777344,176.5512237548828
1196.4276123046875,574.5580444335938,438.58612060546875,176.63839721679688
1176.4610595703125,566.6224365234375,448.65032958984375,180.61341857910156
1188.4840087890625,572.3543701171875,458.5372314453125,180.46299743652344
1194.611083984375,574.553955078125,466.6632080078125,182.4492950439453
1200.30224609375,570.486572265625,478.5394287109375,186.6553192138672
1202.4677734375,572.4688720703125,490.4549560546875,188.4823760986328
1206.4449462890625,572.4505615234375,502.58734130859375,188.3767547607422
1210.414794921875,574.537109375,514.5728759765625,192.6317596435547
1222.4189453125,570.4241333007812,526.5995483398438,196.4711151123047
1226.661865234375,568.634033203125,536.4293212890625,196.6591033935547
1226.3985595703125,566.4207763671875,548.6192626953125,198.56202697753906
1232.4222412109375,560.50048828125,560.398681640625,200.5677490234375
1238.5277099609375,560.4159545898438,570.6109619140625,196.58731079101562
1248.3800048828125,566.6082153320312,578.4224853515625,194.56082153320312
1250.6043701171875,564.494140625,584.419921875,196.4092559814453
1250.438720703125,558.3350830078125,588.3885498046875,196.47393798828125
1250.5185546875,538.4071044921875,596.4482421875,198.4090118408203
1250.548583984375,520.3228759765625,604.4624633789062,200.64007568359375
1254.6595458984375,510.5183410644531,610.45556640625,202.61915588378906
1256.5726318359375,504.5548095703125,620.3908081054688,202.5304412841797
1250.5103759765625,492.5181884765625,626.4963989257812,200.58200073242188
1250.6002197265625,488.36083984375,634.612060546875,204.49453735351562
1252.5380859375,482.46734619140625,642.4603271484375,210.65187072753906
1252.5078125,480.3597412109375,646.6414794921875,218.6793212890625
