vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,dividers
041824_COOPTRAIN_LARGEARENA_EB011Y-EB015R_Camera2,041824,multi,train,True,B015R_Camera2,0.1121332131724942,0.1163854186475291,True,0.0015134478168484,True,True,coop,TP,False,transparent
041824_COOPTRAIN_LARGEARENA_EB005Y-EB007R_Camera1,041824,multi,train,True,B007R_Camera1,0.1712006821304988,0.180210765078892,True,0.0031863110316395,True,True,coop,TP,False,transparent
041824_COOPTRAIN_LARGEARENA_EB021R-EB023B_Camera3,041824,multi,train,True,B023B_Camera3,0.0534180963883328,0.0546994689211323,True,0.0004752411362771,True,True,coop,TP,False,transparent
041824_COOPTRAIN_LARGEARENA_EB027Y-EB029R_Camera4,041824,multi,train,True,B029R_Camera4,0.180099720880923,0.2056494695081044,True,0.003234302657843,True,True,coop,TP,False,transparent
041824_COOPTRAIN_LARGEARENA_EB003B-EB019Y_Camera2,041824,multi,train,True,B019Y_Camera2,0.1753567862407195,0.1849691272067763,True,0.0027975709327047,True,True,coop,TP,False,transparent
041924_COOPTRAIN_LARGEARENA_EB027Y-EB029R_Camera4,041924,multi,train,True,B029R_Camera4,0.185549558390579,0.2035794896957801,True,0.0038858562315996,True,True,coop,TP,False,transparent
041924_COOPTRAIN_LARGEARENA_EB011Y-EB015R_Camera2,041924,multi,train,True,B015R_Camera2,0.1146320324881141,0.1180182745641838,True,0.0015674524564183,True,True,coop,TP,False,transparent
041924_COOPTRAIN_LARGEARENA_EB005Y-EB007R_Camera1,041924,multi,train,True,B007R_Camera1,0.1800499831787379,0.1931884187327067,True,0.0034888670708346,True,True,coop,TP,False,transparent
041924_COOPTRAIN_LARGEARENA_EB003B-EB019Y_Camera2,041924,multi,train,True,B019Y_Camera2,0.1691528354080221,0.1764128630705394,True,0.0025691562932226,True,True,coop,TP,False,transparent
041924_COOPTRAIN_LARGEARENA_EB009B-EB033Y_Camera3,041924,multi,train,True,B033Y_Camera3,0.1305438694658018,0.136537279201984,True,0.0034377827976153,True,True,coop,TP,False,transparent
041924_COOPTRAIN_LARGEARENA_EB021R-EB023B_Camera3,041924,multi,train,True,B023B_Camera3,0.0726429552253445,0.0741031582560933,True,0.0008943896817223,True,True,coop,TP,False,transparent
042224_COOPTRAIN_LARGEARENA_EB027Y-EB029R_Camera3,042224,multi,train,True,B029R_Camera3,0.1449890212123182,0.1577999409796379,True,0.0023795709519784,True,True,coop,TP,False,transparent
042224_COOPTRAIN_LARGEARENA_EB021R-EB023B_Camera4,042224,multi,train,True,B023B_Camera4,0.0741929255875867,0.0753909623924154,True,0.0008007234963571,True,True,coop,TP,False,transparent
042224_COOPTRAIN_LARGEARENA_EB011Y-EB015R_Camera2,042224,multi,train,True,B015R_Camera2,0.1159053278480369,0.1189130986845446,True,0.0013784346589466,True,True,coop,TP,False,transparent
