left_x,left_y,right_x,right_y
194.57772827148438,478.7288818359375,686.554931640625,406.361083984375
192.63980102539062,478.50860595703125,662.414306640625,388.3345642089844
195.67125698018847,478.39661949931417,646.2376287972202,384.08352991378035
193.8976817048553,480.8565594652732,624.1161406477818,372.350421463342
602.6405029296875,352.50823974609375,190.6464080810547,490.6779479980469
193.45950633675676,486.37809005631084,585.5275808070203,351.24888778742513
193.26015085439812,488.6980807100238,565.7641993153002,340.8898223168754
188.56893920898438,494.701416015625,538.4417724609375,328.41455078125
188.6154022216797,494.67449951171875,526.5135498046875,320.5984191894531
192.29595947265625,494.6422119140625,518.6134033203125,312.55682373046875
192.55767822265625,494.67724609375,510.41644287109375,300.6351318359375
192.5440216064453,494.690673828125,498.6293029785156,292.48858642578125
192.5590057373047,498.36431884765625,503.54617484701856,293.5716066227555
192.63461303710938,498.6234130859375,501.1992898353186,291.87614212383363
192.5083770751953,502.41229248046875,500.4504193559697,291.92232906842145
192.53208923339844,502.599853515625,488.5948181152344,276.37359619140625
192.543212890625,502.67181396484375,498.6947544937615,293.5255897876151
192.5756072998047,502.64825439453125,490.52264404296875,280.4005126953125
192.62037658691406,502.61602783203125,494.5068664550781,286.55120849609375
196.33799743652344,502.66461181640625,500.4527587890625,288.5626220703125
196.2896270751953,502.5660400390625,498.6629638671875,300.44866943359375
196.3162384033203,502.5583190917969,504.3870849609375,300.5711975097656
196.29638671875,502.51055908203125,504.5403137207031,308.46722412109375
196.35414123535156,502.47332763671875,504.44873046875,312.52850341796875
196.35784912109375,502.4844970703125,508.4620056152344,316.5538330078125
196.34359741210938,502.5137939453125,512.5111083984375,320.3748779296875
196.36318969726562,502.46905517578125,506.5448303222656,326.63397216796875
196.35939025878906,502.4936828613281,500.68634033203125,342.2666320800781
196.32960510253906,502.4677429199219,498.5625915527344,350.351806640625
196.2930450439453,502.421630859375,494.567138671875,360.4206237792969
196.2923583984375,502.44818115234375,496.36328125,372.3782958984375
196.31204223632812,502.45697021484375,486.6326904296875,388.280517578125
194.61756896972656,502.44171142578125,480.64569091796875,400.4527587890625
192.5353546142578,498.6982727050781,468.48077392578125,412.61517333984375
192.5281524658203,498.6520080566406,452.4361572265625,424.5441589355469
192.5301971435547,498.61083984375,434.35845947265625,436.36114501953125
192.33126831054688,498.4798583984375,427.94885911701147,445.9717744992619
190.61439514160156,500.38458251953125,420.50533953299976,445.43554927757424
190.6427459716797,500.411865234375,412.39205445567757,445.28132787414165
190.6312713623047,500.3834228515625,406.051690775494,445.941059812075
192.37673950195312,498.53265380859375,400.0785465372784,448.4500519882616
194.3184356689453,500.48944091796875,394.1772649787671,449.89207526477685
194.29232788085938,500.46783447265625,387.70923743833646,451.21133279300545
190.61746215820312,498.4328918457031,372.52239990234375,454.49029541015625
190.600830078125,498.43963623046875,372.57635498046875,454.4171142578125
190.60610961914062,498.4035949707031,372.6292724609375,454.44464111328125
194.28794860839844,500.4249267578125,370.48126220703125,454.460205078125
190.6071014404297,498.39501953125,370.3622131347656,452.44085693359375
190.63784790039062,498.42327880859375,370.5340576171875,448.32843017578125
192.5487823486328,500.4863586425781,355.8304221186083,432.21376762982914
192.50405883789062,500.4759521484375,354.49749755859375,424.53887939453125
192.50875854492188,500.46624755859375,348.59552001953125,416.55126953125
192.49356079101562,500.5805969238281,340.41424560546875,408.51409912109375
194.29244995117188,502.36309814453125,326.691650390625,404.571044921875
