session_id,trial_number,date,rat_pair,familiarity,barrier_transparency,time_begin,time_first_press,time_coop_or_last_press,time_first_mag_entry,time_trial_end,all_time_sections_valid,successes_in_row,success,trial_frames,lever_press_exists,percent_gazing_original,percent_gazing,percent_interacting,percent_gazing_lev,percent_gazing_mag,percent_interacting_lev,percent_interacting_mag,time_wait_before_cue_both,time_wait_before_cue_rat0,time_wait_before_cue_rat1,distance_vs_wait_valid,time_wait_to_press_one,dist_furthest_from_lever,avg_horizontal_distance,avg_distance
041624_KL001_TimeOut_TrNum10,26,2024-04-16,KL001B-KL001Y,Training Partner,transparent,300.61,301.28,302.71,,,False,0.0,0,328,True,0.0,0.0,0.0,0.0,0.0,0.5426829268292683,0.0,0.0,124.0,0.0,True,0.6699999999999591,1114.207432121571,198.2016107436791,377.6032196600622
041624_KL001_TimeOut_TrNum10,27,2024-04-16,KL001B-KL001Y,Training Partner,transparent,311.53,312.19,313.05,,,False,0.0,0,300,True,0.0,0.0,2.3333333333333335,0.0,0.0,0.2633333333333333,0.10833333333333334,0.0,0.0,282.0,True,0.660000000000025,1106.6350928391084,739.5396308152644,754.7341652702576
041624_KL001_TimeOut_TrNum10,28,2024-04-16,KL001B-KL001Y,Training Partner,transparent,321.54,322.17,322.87,,,False,0.0,0,344,True,0.0,0.0,3.1976744186046515,0.0,0.0029069767441860465,0.5508720930232558,0.0755813953488372,0.0,44.0,0.0,True,0.6299999999999955,744.1039457428914,408.0499418567358,499.2981748598422
041624_KL001_TimeOut_TrNum10,29,2024-04-16,KL001B-KL001Y,Training Partner,transparent,333.02,333.73,334.2,,,False,0.0,0,332,True,0.0,0.0,2.108433734939759,0.0,0.0,0.43373493975903615,0.02108433734939759,0.0,0.0,331.0,True,0.7100000000000364,532.5499845327608,263.93585448385943,389.23179267822235
041624_KL001_TimeOut_TrNum10,30,2024-04-16,KL001B-KL001Y,Training Partner,transparent,344.08,344.74,344.77,348.77,,True,1.0,1,423,True,3.546099290780142,3.546099290780142,0.0,0.0,0.0,0.2895981087470449,0.09929078014184398,5.665913875703235,170.0,219.0,True,0.660000000000025,139.83719705553565,172.66480879081587,342.93962792862095
041624_KL001_TimeOut_TrNum10,31,2024-04-16,KL001B-KL001Y,Training Partner,transparent,358.18,358.8,358.83,361.11,,True,2.0,1,373,True,0.0,0.0,0.0,0.0,0.0,0.47319034852546915,0.04289544235924933,4.36608657480661,131.0,163.0,True,0.6200000000000045,141.18718726349633,116.84798918523235,309.85932492228886
041624_KL001_TimeOut_TrNum10,32,2024-04-16,KL001B-KL001Y,Training Partner,transparent,370.6,371.28,371.28,,,False,3.0,1,505,True,0.0,0.0,0.0,0.0009900990099009901,0.0,0.39504950495049507,0.07722772277227723,6.499136504483122,200.0,195.0,True,0.67999999999995,135.82042310998023,538.8621467216485,653.8290612622699
041624_KL001_TimeOut_TrNum10,33,2024-04-16,KL001B-KL001Y,Training Partner,transparent,387.42,388.09,388.22,,,False,4.0,1,287,True,0.0,0.0,0.0,0.0017421602787456446,0.0,0.34843205574912894,0.05749128919860627,0.8998804390822784,27.0,327.0,True,0.6699999999999591,135.7766288453451,134.772536298791,320.74356930267567
041624_KL001_TimeOut_TrNum10,34,2024-04-16,KL001B-KL001Y,Training Partner,transparent,397.0,397.61,397.68,406.1,,True,5.0,1,589,True,0.0,0.0,0.0,0.039898132427843805,0.001697792869269949,0.2640067911714771,0.12818336162988114,2.4996678863396626,75.0,84.0,True,0.6100000000000136,144.50921699883457,639.9199386849613,723.129780898212
041624_KL001_TimeOut_TrNum10,35,2024-04-16,KL001B-KL001Y,Training Partner,transparent,416.62,417.42,417.42,,,False,0.0,0,241,True,0.0,0.0,0.0,0.0,0.0,0.2821576763485477,0.09336099585062241,0.0,0.0,217.0,True,0.8000000000000114,1112.4190613635337,839.4874782324827,865.3682807071525
041624_KL001_TimeOut_TrNum10,36,2024-04-16,KL001B-KL001Y,Training Partner,transparent,424.67,425.34,426.83,,,False,0.0,0,208,True,0.0,0.0,0.0,0.009615384615384616,0.004807692307692308,0.28846153846153844,0.12980769230769232,0.0,139.0,0.0,True,0.6699999999999591,1114.2285649580083,734.2419742526858,790.176589112015
041624_KL001_TimeOut_TrNum10,37,2024-04-16,KL001B-KL001Y,Training Partner,transparent,431.59,434.21,435.1,437.32,,True,1.0,1,451,True,0.0,0.0,0.0,0.0011086474501108647,0.0,0.31042128603104213,0.082039911308204,0.0,0.0,0.0,False,,1148.4293369149555,200.55239826858198,359.2417992155708
